"pathway","NES","padj","permutation","n_overlap_with_biologic","dropped_ids"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.85138660090765,6.97031273224971e-22,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-2.48315416959857,2.32220179495903e-09,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-2.20856523564371,2.98942338316572e-09,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.93868919532837,2.5585562738007e-06,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.98651078590992,2.5585562738007e-06,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-1.69809931171015,0.000354562760020234,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-1.58688316073779,0.0014244529633828,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.56769707965557,0.0221582469752878,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",1.06024608711999,0.556930693069307,5,4,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AZ-4682/TCGA-AZ-6600/TCGA-CI-6620/TCGA-NH-A6GB/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-2.6408288556541,4.08810469865474e-16,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-2.57843051416846,5.89371672687126e-15,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-2.46158976681303,2.60191148327266e-13,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-2.21623101818723,2.26918566269658e-09,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",2.09318569261392,7.65033039955596e-06,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.9728475205763,7.00585860327502e-05,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.63766130346216,0.000428606259657515,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.58510803257041,0.00196563457430353,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-1.28920509734832,0.0612140153850298,6,3,"TCGA-AA-3680/TCGA-AA-3930/TCGA-AA-3972/TCGA-AG-A016/TCGA-AZ-4684/TCGA-AZ-6606/TCGA-F5-6702/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-2.37463819908564,2.31446398071713e-11,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_E2F_TARGETS",-1.97968309345224,4.53435373206243e-07,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.72000411879739,0.00552596850520121,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.41492155642414,0.0444703706656818,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.23182303978703,0.09145911797505,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_MYC_TARGETS_V1",-1.2008938350203,0.152809062127957,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_COMPLEMENT",-1.1349737814183,0.304540420819491,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_ALLOGRAFT_REJECTION",-1.06432835419568,0.462847654628477,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_INFLAMMATORY_RESPONSE",-1.0602041936219,0.462847654628477,7,4,"TCGA-AA-3844/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AZ-4682/TCGA-AZ-4684/TCGA-AZ-6600/TCGA-RU-A8FL"
"HALLMARK_G2M_CHECKPOINT",-2.25313579577818,3.14787785918418e-09,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_E2F_TARGETS",-1.94628374316598,2.91542812474283e-06,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_MYC_TARGETS_V1",-1.83996450153904,2.03790685137193e-05,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.44722678538402,0.0858913036071867,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",1.34624703995467,0.152479014139358,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.2319032743186,0.205496258127837,8,5,"TCGA-5M-AAT6/TCGA-AA-3844/TCGA-AA-3972/TCGA-AA-A02K/TCGA-AD-6964/TCGA-AG-3584/TCGA-AG-A016/TCGA-NH-A6GB"
